# Temporary trajectory realization generation debug export
# RealizationNumberOneBased	21
# RealizationIndexZeroBased	20
# NormalizedGaussian	0.77762773192494916	-0.21829115994370557	-0.40452649651302192
Stage	StationIndex	CandidateIndex	Selected	SmoothnessScore	ReferenceMD	ReferenceIncl	ReferenceAz	ReferenceX	ReferenceY	ReferenceZ	MD	Abscissa	Incl	Az	X	Y	Z	TVD	North	East	DLS	BUR	TUR	VSect
incremental-md-incl-az-candidate	3	0	False	1.6185250745204272E-06	0.78000000000000114	0.0069813170079773184	-1.6598081186466074	6535283.7301409766	328657.08763614704	0.77543092631804456	0.64781929798004256	0.64781929798004256	0.0056406098033398846	4.8148684800574166	6535283.9434392685	328656.93540494505	0.63999521654991043	0.63999521654991043	6535283.9434392685	328656.93540494505	0.00036508289956511952	-0.00015983189521340257	-0.058192001825929651	1.0757704585307317
raw-covariance-spherical-candidate	3	1	False		0.78000000000000114	0.0069813170079773184	-1.6598081186466074	6535283.7301409766	328657.08763614704	0.77543092631804456					6535283.6260111863	328657.33052608347	0.6443782767300027	0.6443782767300027	6535283.6260111863	328657.33052608347				
incremental-md-incl-az-candidate	3	1	False	0.00021476707627710034	0.78000000000000114	0.0069813170079773184	-1.6598081186466074	6535283.7301409766	328657.08763614704	0.77543092631804456	0.65061150445502847	0.65061150445502847	0.01591517206251172	2.4413752549515171	6535283.6260111863	328657.33052608347	0.6443782767300027	0.6443782767300027	6535283.6260111863	328657.33052608347	0.00074540186123343074	0.00074394877336708687	0.0029231520857209148	0.58936206765884136
raw-covariance-spherical-candidate	3	2	False		0.78000000000000114	0.0069813170079773184	-1.6598081186466074	6535283.7301409766	328657.08763614704	0.77543092631804456					6535283.8324941983	328656.84627256892	0.64022451836839533	0.64022451836839533	6535283.8324941983	328656.84627256892				
incremental-md-incl-az-candidate	3	2	False	7.8060251981204587E-06	0.78000000000000114	0.0069813170079773184	-1.6598081186466074	6535283.7301409766	328657.08763614704	0.77543092631804456	0.6483095353645254	0.6483095353645254	0.0099745681309826393	4.3130453414972347	6535283.8324941983	328656.84627256892	0.64022451836839533	0.64022451836839533	6535283.8324941983	328656.84627256892	0.00043570921119868267	0.00011876524415085216	-0.04202861867863561	1.0733920079813783
raw-covariance-spherical-candidate	3	3	False		0.78000000000000114	0.0069813170079773184	-1.6598081186466074	6535283.7301409766	328657.08763614704	0.77543092631804456					6535283.9452158371	328656.93387858674	0.90625427408760151	0.90625427408760151	6535283.9452158371	328656.93387858674				
incremental-md-incl-az-candidate	3	3	False	1.6310482320314179E-06	0.78000000000000114	0.0069813170079773184	-1.6598081186466074	6535283.7301409766	328657.08763614704	0.77543092631804456	0.91409303130690489	0.91409303130690489	0.0056062661640091088	4.8108355161555352	6535283.9452158371	328656.93387858674	0.90625427408760151	0.90625427408760151	6535283.9452158371	328656.93387858674	0.0003638481553186998	-0.00015834921128117518	-0.058431992857155279	1.0781092734842044
raw-covariance-spherical-candidate	3	4	False		0.78000000000000114	0.0069813170079773184	-1.6598081186466074	6535283.7301409766	328657.08763614704	0.77543092631804456					6535283.5150661161	328657.24139370734	0.6446075785484876	0.6446075785484876	6535283.5150661161	328657.24139370734				
incremental-md-incl-az-candidate	3	4	False	0.00022095808152078344	0.78000000000000114	0.0069813170079773184	-1.6598081186466074	6535283.7301409766	328657.08763614704	0.77543092631804456	0.65110176902593508	0.65110176902593508	0.017915753462770322	2.7596888040330305	6535283.5150661161	328657.24139370734	0.6446075785484876	0.6446075785484876	6535283.5150661161	328657.24139370734	0.00078237915214459449	0.00077733157938589259	-0.0049528078539307074	0.57845012572049526
raw-covariance-spherical-candidate	3	5	False		0.78000000000000114	0.0069813170079773184	-1.6598081186466074	6535283.7301409766	328657.08763614704	0.77543092631804456					6535283.6277877549	328657.32899972517	0.91063733426769378	0.91063733426769378	6535283.6277877549	328657.32899972517				
